Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5;L6
FZ010;03/07/2021;2021;360;400;M;Natural;5+;5;Valerie;1129.41;304.06;559.92;772.53;925.24;1054.24;
FZ012;06/07/2021;2021;340;320;F;Natural;4+;4;Valerie;1063.884;259.8156667;543.276;793.6636667;986.5363333;;
FZ030;07/06/2021;2021;330;335;F;Natural;4+;4;Valerie;1112.69;319.92;607.9786667;874.0996667;1047.047667;;
FZ069;23/03/2021;2021;410;539;F;Natural;5;5;Valerie;1397.697667;393.1766667;760.801;1053.568333;1255.362;1397.697667;
FZ102;26/03/2021;2021;370;340;NA;Natural;5;5;Valerie;1081.331;292.3243333;568.723;804.9456667;999.776;1081.331;
FZ132;23/02/2021;2021;330;400;F;Natural;4;4;Valerie;1031.183333;339.918;649.2833333;909.9453333;1031.183333;;
FZ133;23/02/2021;2021;370;500;F;Natural;5;5;Valerie;1139.983333;356.8486667;622.4986667;878.4446667;1047.97;1139.983333;
FZ134;06/05/2021;2021;370;330;F;Natural;5;5;Valerie;1110.916;314.689;593.6146667;864.3533333;1030.104;1110.916;
FZ181;04/02/2021;2021;350;531;F;Natural;5;5;Valerie;1187.239333;307.6273333;607.4623333;886.0796667;1100.062333;1187.239333;
FZ185;20/02/2021;2021;335;288;F;Natural;5;5;Valerie;1194.350667;347.7976667;672.4793333;959.7;1129.201;1194.350667;
FZ187;01/03/2021;2021;308;214;M;Natural;4;4;Valerie;909.383;326.574;615.2663333;836.4406667;909.383;;
FZ195;23/03/2021;2021;310;212;F;Natural;5;5;Valerie;1185.940667;336.0783333;690.4436667;904.3896667;1092.425667;1185.940667;
FZ214;05/04/2021;2021;310;225;NA;Natural;5;5;Valerie;1046.578333;293.81;573.1036667;798.0186667;972.4096667;1046.578333;
FZ230;27/03/2021;2021;350;304;F;Natural;5;5;Valerie;1283.772667;345.904;711.7483333;1038.187;1214.915333;1283.772667;
FZ242;24/03/2021;2021;320;290;M;Natural;5;5;Valerie;1051.001667;300.0936667;633.8493333;822.749;975.5606667;1051.001667;
FZ244;01/06/2021;2021;360;346;F;Natural;6;6;Valerie;1270.322667;310.3926667;639.2726667;891.5113333;1077.799667;1204.494;1270.322667
FZ257;22/06/2021;2021;330;340;M;Natural;5+;5;Valerie;1184.911333;349.538;637.6853333;884.1646667;1027.166333;1137.361333;
FZ275;09/09/2021;2021;310;245;NA;Natural;2+;2;Valerie;1796.499;469.8793333;1073.564333;;;;
FZ276;09/09/2021;2021;340;365;F;Natural;2+;2;Valerie;1722.691333;491.2403333;1071.214667;;;;
FZ300;04/10/2021;2021;381;366;F;Natural;4+;4;Valerie;1252.578;356.6036667;720.4616667;974.7766667;1166.088333;;
FZ317;30/03/2021;2021;305;230;F;Natural;5;5;Valerie;1166.827;347.5903333;687.211;914.9043333;1097.741667;1166.827;
FZ319;30/03/2021;2021;330;305;F;Natural;5;5;Valerie;1019.600333;332.2096667;594.142;813.6013333;947.1356667;1019.600333;
FZ333;29/03/2021;2021;315;240;F;Natural;5;5;Valerie;941.5333333;302.263;554.238;744.423;876.4013333;941.5333333;
FZ362;25/03/2021;2021;318;198;F;Natural;4;4;Valerie;1142.915;407.918;723.2956667;1008.929333;1142.915;;
FZ364;27/03/2021;2021;342;287;F;Natural;5;5;Valerie;1156.947333;363.4973333;692.3913333;911.7136667;1074.475667;1156.947333;
FZ378;13/04/2021;2021;330;300;M;Natural;5;5;Valerie;1053.779667;310.9293333;642.5153333;858.6846667;986.0536667;1053.779667;
FZ412;19/07/2021;2021;340;310;M;Natural;4+;4;Valerie;1190.600667;367.2693333;710.379;954.483;1127.834;;
FZ451;31/05/2021;2021;355;350;M;Natural;5+;5;Valerie;1227.241667;310.613;608.341;898.9513333;1080.039;1191.906;
FZ489;21/08/2021;2021;310;246;M;Natural;3+;3;Valerie;1086.376333;328.2233333;703.6426667;974.095;;;
FZ491;07/06/2021;2021;311;265;M;Natural;3+;3;Valerie;924.931;286.519;600.4706667;830.078;;;
FZ498;07/06/2021;2021;350;314;F;Natural;4+;4;Valerie;1116.377667;295.9493333;615.3303333;846.7186667;1069.538333;;
FZ512;08/09/2021;2021;350;392;F;Natural;4+;4;Valerie;1010.873;313.197;600.875;783.8153333;952.611;;
FZ441;09/06/2021;2021;330;283;NA;Natural;3+;3;Valerie;988.3;350.0176667;688.3613333;928.8586667;;;
FZ001;08/05/2021;2021;300;220;M;Rives;4+;4;Valerie;1028.112667;322.2446667;631.5903333;852.383;1000.602667;;
FZ011;06/07/2021;2021;350;370;F;Rives;4+;4;Valerie;1212.161667;371.377;679.208;946.1123333;1152.94;;
FZ028;03/06/2021;2021;300;216;M;Rives;4+;4;Valerie;1056.217;325.8033333;617.842;824.3763333;1018.657667;;
FZ070;23/03/2021;2021;310;232;NA;Rives;4;4;Valerie;1072.717333;329.9866667;688.4553333;917.017;1072.717333;;
FZ076;07/09/2021;2021;310;272;F;Rives;4+;4;Valerie;1206.026667;377.2646667;707.7413333;922.0063333;1114.501333;;
FZ106;16/06/2021;2021;330;280;F;Rives;4+;4;Valerie;1263.520333;306.344;657.8683333;1011.231333;1217.947333;;
FZ186;23/02/2021;2021;340;335;F;Puya;5;5;Valerie;1064.075667;328.5556667;597.926;789.6886667;953.215;1064.075667;
FZ188;03/03/2021;2021;300;234;F;Puya;4;4;Valerie;989.1393333;342.1186667;627.1203333;854.3013333;989.1393333;;
FZ190;06/03/2021;2021;308;201;F;Puya;4;4;Valerie;1087.085667;351.6906667;673.994;934.2986667;1087.085667;;
FZ135;31/05/2021;2021;330;300;F;Rives;4;4;Valerie;1449.704333;457.2616667;934.44;1248.998667;1449.704333;;
FZ192;16/03/2021;2021;350;350;M;Puya;5;5;Valerie;1232.491;379.864;657.2493333;907.1683333;1118.962667;1232.491;
FZ112;23/03/2021;2021;320;NA;F;Puya;4;4;Valerie;1079.666667;300.2333333;612.1703333;893.8526667;1079.666667;;
FZ152;24/03/2021;2021;330;251;F;Rives;4;4;Valerie;1075.947667;276.91;590.7066667;887.15;1075.947667;;
FZ194;23/03/2021;2021;300;208;F;Puya;4;4;Valerie;911.7803333;316.939;599.1743333;791.787;911.7803333;;
FZ153;24/03/2021;2021;340;295;NA;Puya;44;4;Valerie;1208.606667;394.9573333;736.2893333;1011.931;1208.606667;;
FZ161;17/02/2021;2021;310;203;M;Rives;4;4;Valerie;1346.876;449.8493333;876.1646667;1157.962667;1346.876;;
FZ198;24/03/2021;2021;305;220;F;Puya;4;4;Valerie;1109.061333;351.064;695.095;970.4876667;1109.061333;;
FZ162;18/02/2021;2021;305;235;F;Rives;4;4;Valerie;1217.377333;375.2456667;778.929;1058.738667;1217.377333;;
FZ084;26/03/2021;2021;310;234;F;Puya;4;4;Valerie;1028.620667;304.54;646.5973333;889.8916667;1028.620667;;
FZ182;17/02/2021;2021;335;314;M;Rives;4;4;Valerie;1127.370667;367.8576667;709.7626667;983.9706667;1127.370667;;
FZ074;27/03/2021;2021;350;324;F;Puya;4;4;Valerie;1131.910667;372.3926667;733.352;968.8493333;1131.910667;;
FZ205;18/03/2021;2021;330;250;M;Rives;4;4;Valerie;1174.412333;363.6083333;739.8006667;1014.673333;1174.412333;;
FZ309;29/03/2021;2021;320;260;M;Puya;4;4;Valerie;1130.525;370.2763333;703.664;973.5686667;1130.525;;
FZ249;01/07/2021;2021;315;250;F;Rives;4+;4;Valerie;1181.383333;374.7423333;699.1736667;951.23;1131.95;;
FZ310;31/03/2021;2021;310;250;F;Puya;4;4;Valerie;1083.183333;359.5126667;718.987;953.0496667;1083.183333;;
FZ251;26/02/2021;2021;340;345;F;Rives;4;4;Valerie;1304.321667;443.6663333;771.622;1096.758;1304.321667;;
FZ142;06/04/2021;2021;310;280;M;Puya;4;4;Valerie;1039.922333;348.8863333;642.234;925.996;1039.922333;;
FZ294;04/04/2021;2021;310;225;F;Rives;4;4;Valerie;1197.141667;397.135;751.7023333;1075.624;1197.141667;;
FZ302;25/03/2021;2021;320;270;F;Rives;4;4;Valerie;1182.725667;371.211;709.058;999.3353333;1182.725667;;
FZ146;18/04/2021;2021;310;240;F;Puya;4;4;Valerie;1108.091667;394.894;700.1453333;998.628;1108.091667;;
FZ303;26/03/2021;2021;340;350;F;Rives;4;4;Valerie;1454.335333;440.4363333;871.2346667;1202.345;1454.335333;;
FZ402;22/04/2021;2021;310;210;F;Puya;3;3;Valerie;895.808;331.468;676.0906667;895.808;;;
FZ305;19/04/2021;2021;305;240;F;Rives;4;4;Valerie;1405.919667;429.165;890.2466667;1232.279333;1405.919667;;
FZ403;20/05/2021;2021;310;230;M;Puya;4;4;Valerie;1033.975333;392.0876667;668.4033333;889.656;1033.975333;;
FZ328;31/03/2021;2021;365;397;F;Rives;4;4;Valerie;1219.999;343.5113333;704.8013333;1013.33;1219.999;;
FZ223;24/05/2021;2021;330;280;NA;Puya;3;3;Valerie;890.8476667;321.776;650.029;890.8476667;;;
FZ358;27/05/2021;2021;310;260;M;Rives;4;4;Valerie;1188.514;400.4873333;760.0083333;1048.542667;1188.514;;
FZ023;28/05/2021;2021;360;390;M;Puya;5;5;Valerie;1189.045;340.464;610.703;852.8396667;1072.881;1189.045;
FZ359;27/05/2021;2021;330;320;F;Rives;4;4;Valerie;1067.903333;349.045;658.3163333;920.8856667;1067.903333;;
FZ027;02/06/2021;2021;330;350;F;Puya;4+;4;Valerie;1177.633333;349.7426667;698.2053333;969.7973333;1142.334;;
FZ255;10/06/2021;2021;320;280;F;Puya;4;4;Valerie;1016.670333;352.563;633.4053333;865.19;1016.670333;;
FZ365;27/03/2021;2021;333;295;F;Rives;4;4;Valerie;1204.340333;403.171;717.7063333;1017.353667;1204.340333;;
FZ004;11/06/2021;2021;320;240;F;Puya;4+;4;Valerie;1173.886333;418.9543333;686.0856667;926.5063333;1134.255;;
