Id;Date;CaptureYear;FishLength;FishWeight;Sex;Origin;ReadingAge;Age;Reader;LT;L1;L2;L3;L4;L5;L6
AH566;18/06/2023;2023;320;300;NA;Natural;5+;5;Raphael;1623.906333;637.61;925.118;1115.904667;1346.366;1543.063333;
AH568;18/06/2023;2023;360;410;NA;Natural;5+;5;Raphael;1514.036333;561.155;818.193;1033.81;1251.283333;1451.9;
AH578;19/04/2023;2023;350;337;M;Natural;5;5;Raphael;1287.026667;410.3633333;653.6336667;842.889;1037.192;1287.026667;
AH586;19/05/2023;2023;320;300;F;Natural;5;5;Raphael;1492.570333;610.1376667;869.735;1144.091667;1343.613667;1492.570333;
AH651;14/05/2023;2023;410;260;M;Natural;5;5;Raphael;1730.462333;574.8183333;903.2873333;1156.834;1440.013667;1730.462333;
AH732;07/10/2023;2023;310;235;M;Natural;4+;4;Raphael;1287.664667;449.7373333;736.6313333;946.5266667;1159.360667;;
AH735;12/10/2023;2023;320;320;F;Natural;5+;5;Raphael;1502.312333;616.9953333;795.7193333;987.9903333;1211.524333;1379.554667;
AH745;06/07/2023;2023;325;340;M;Natural;5+;5;Raphael;1403.436;472.8296667;754.7013333;958.219;1159.142667;1318.428667;
AH772;04/05/2023;2023;350;366;F;Natural;5;5;Raphael;1791.79;602.381;1018.442333;1379.727667;1604.663667;1791.79;
AH826;28/06/2023;2023;330;272;F;Natural;5+;5;Raphael;1517.298667;577.173;811.531;995.081;1192.006667;1385.711667;
AH829;18/08/2023;2023;310;222;F;Natural;4+;4;Raphael;1404.859667;562.7986667;862.432;1090.825333;1285.446333;;
AH980;10/09/2023;2023;320;311;F;Natural;4+;4;Raphael;1418.889;727.641;981.4033333;1154.88;1326.534;;
FZ689;30/04/2023;2023;385;520;F;Natural;6;6;Raphael;1843.932;651.6316667;904.0496667;1184.665;1446.430333;1664.446667;1843.932
FZ919;27/06/2023;2023;340;339;F;Natural;5+;5;Raphael;1629.955667;517.7613333;803.2993333;1041.097333;1309.981333;1534.122;
AH501;28/09/2023;2023;320;308;F;Puya;4+;4;Raphael;1283.797333;502.0976667;840.0336667;1045.651667;1194.401333;;
AH503;01/10/2023;2023;300;281;F;Puya;3+;3;Raphael;1494.354;642.5366667;1120.467333;1363.994333;;;
AH507;03/10/2023;2023;320;340;F;Puya;5+;5;Raphael;1524.926333;563.0456667;867.654;1110.361333;1307.22;1459.810333;
AH533;16/03/2023;2023;310;240;F;Puya;4;4;Raphael;1090.799;404.207;638.3476667;828.8593333;1090.799;;
AH546;30/01/2023;2023;320;305;F;Puya;4;4;Raphael;1457.640667;551.6163333;934.1423333;1242.105333;1457.640667;;
AH549;11/02/2023;2023;312;240;M;Puya;4;4;Raphael;1396.663;552.0066667;895.7963333;1158.136;1396.663;;
AH553;06/06/2023;2023;330;314;M;Puya;3+;3;Raphael;1439.056;580.6746667;984.411;1295.303333;;;
AH583;03/05/2023;2023;320;290;M;Puya;5;5;Raphael;1475.379333;560.4683333;790.963;1025.522333;1233.028;1475.379333;
AH584;19/05/2023;2023;305;300;F;Puya;5;5;Raphael;1289.854333;504.9813333;771.406;967.2236667;1135.36;1289.854333;
AH589;21/05/2023;2023;330;300;F;Puya;4;4;Raphael;1449.2645;641.5965;990.2335;1216.812;1449.2645;;
AH594;15/06/2023;2023;375;480;F;Puya;4+;4;Raphael;1819.767333;612.059;1062.691;1432.054333;1731.114667;;
AH595;26/06/2023;2023;350;400;M;Puya;3+;3;Raphael;1545.113667;602.7503333;1048.291667;1392.567;;;
AH597;14/09/2023;2023;310;300;F;Puya;4+;4;Raphael;1359.739;530.6123333;847.1543333;1075.74;1245.33;;
AH599;14/09/2023;2023;350;480;F;Puya;4+;4;Raphael;1466.756333;529.9726667;807.2313333;1089.394;1287.23;;
AH620;05/06/2023;2023;330;240;M;Puya;5+;5;Raphael;1286.473667;442.711;700.007;869.044;1033.843333;1191.348333;
AH630;25/05/2023;2023;320;260;M;Puya;3+;3;Raphael;1644.325;704.0883333;1166.251667;1509.485;;;
AH631;01/06/2023;2023;340;355;M;Puya;5;5;Raphael;1575.791667;658.9413333;1031.976333;1242.216667;1424.565;1575.791667;
AH637;23/09/2023;2023;350;430;M;Puya;4+;4;Raphael;1598.668333;551.022;921.0646667;1222.578333;1419.949667;;
AH663;11/06/2023;2023;320;271;M;Puya;4+;4;Raphael;1364.564333;503.4126667;788.8263333;1000.472333;1206.88;;
AH675;30/05/2023;2023;330;295;M;Puya;4;4;Raphael;1568.718333;702.3096667;1047.579333;1332.951333;1568.718333;;
AH683;06/06/2023;2023;320;260;M;Puya;4+;4;Raphael;1461.417;648.4193333;930.5796667;1169.359;1372.123333;;
AH689;15/06/2023;2023;340;320;F;Puya;4+;4;Raphael;1543.116667;576.4043333;957.3116667;1263.747;1462.101;;
AH693;07/07/2023;2023;310;260;F;Puya;3+;3;Raphael;1380.356667;570.3453333;1009.086333;1266.882667;;;
